n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,-0.03030527491712469,-0.04332169878499658,0.0078125,127.11328125,False
20,-0.027419180755738765,-0.08664339756999316,0.015625,127.9140625,False
30,-0.013709590377869382,-0.04332169878499658,0.0078125,127.984375,False
40,-0.055195337486124804,-0.08664339756999316,0.015625,127.02734375,False
50,-0.05457415932182069,-0.15162594574748803,0.02734375,126.76953125,False
60,-0.16017080011024987,-0.28159104210247776,0.05078125,122.9375,False
70,-0.057552896165305505,-0.10830424696249145,0.01953125,126.765625,False
80,-0.17221599831893603,-0.33980457484481696,0.06640625,123.3046875,False
90,-0.17360233133893105,-0.4332169878499658,0.078125,124.55859375,False
100,-0.23103345357761088,-0.4784140967244331,0.09765625,122.7578125,False
200,-0.3437353658879918,-0.6665927258217617,0.13671875,120.2109375,False
300,-0.5546008027347297,-1.0689330461712303,0.23046875,112.06640625,False
400,-0.589554153781315,-1.3144930119263074,0.26953125,115.3984375,False
500,-0.7033268629127459,-1.4006148024938612,0.2890625,110.7109375,False
600,-0.8391907463263241,-1.5632733685705307,0.39453125,104.14453125,False
700,-0.8042202619393721,-1.6079576927299142,0.3515625,106.19921875,False
800,-1.020285057913583,-1.87572403036837,0.515625,98.33203125,False
900,-1.053066500948835,-2.2329893459971606,0.5703125,101.77734375,False
1000,-1.0977363515487817,-2.227313330147816,0.59375,103.88671875,False
2000,-1.6327148653984358,-2.920183527585495,1.3046875,74.71875,False
3000,-1.8635337599495865,-3.1363385120104272,2.03125,58.80859375,False
4000,-1.9780173820381985,-2.9719938489445914,2.5390625,45.19140625,False
5000,-1.8531316979370398,-2.8066166783265514,3.03125,43.0546875,False
6000,-1.7808383208636094,-2.5059434651242127,3.62109375,35.58984375,False
7000,-1.7627102616403265,-2.1887472999689637,4.58984375,23.7734375,False
8000,-1.6057068920995252,-2.0216683946471714,5.171875,21.75390625,False
9000,-1.5005715201227459,-1.7930234098335085,5.94140625,22.87890625,False
10000,-1.4982638718336663,-1.6767558580867954,6.6953125,17.421875,False
20000,-1.2927708449888284,-0.9603878524420701,13.203125,2.19921875,True
30000,-1.2298729888403213,-0.7487227581228526,19.34375,1.32421875,True
40000,-1.1980681075169672,-0.5991682481306466,26.4921875,1.00390625,True
50000,-1.1312473064992095,-0.521072541589442,33.171875,1.0,True
60000,-1.1171975480938536,-0.47404894284366406,38.77734375,1.0,True
70000,-1.1206878512552656,-0.43894375511369327,46.25390625,1.0,True
80000,-1.0991280501793452,-0.4103928292255639,52.7265625,1.0,True
90000,-1.1001259688317895,-0.3968344941192077,59.40625,1.0,True
100000,-1.1063032331066047,-0.3828981545207269,65.90625,1.0,True
