n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,0.0,0.0,0.0,128.0,False
20,0.0,0.0,0.0,128.0,False
30,0.0,0.0,0.0,128.0,False
40,0.0,0.0,0.0,128.0,False
50,0.0,0.0,0.0,128.0,False
60,0.0,0.0,0.0,128.0,False
70,0.0,0.0,0.0,128.0,False
80,0.0,0.0,0.0,128.0,False
90,0.0,0.0,0.0,128.0,False
100,0.0,0.0,0.0,128.0,False
200,-0.02166084939249829,-0.02166084939249829,0.00390625,127.50390625,False
300,0.0,0.0,0.0,128.0,False
400,0.0,0.0,0.0,128.0,False
500,0.0,0.0,0.0,128.0,False
600,0.0,0.0,0.0,128.0,False
700,0.0,0.0,0.0,128.0,False
800,0.0,0.0,0.0,128.0,False
900,-0.02166084939249829,-0.02166084939249829,0.00390625,127.50390625,False
1000,0.0,0.0,0.0,128.0,False
2000,0.0,0.0,0.0,128.0,False
3000,-0.04332169878499658,-0.04332169878499658,0.0078125,127.0078125,False
4000,-0.02166084939249829,-0.02166084939249829,0.00390625,127.50390625,False
5000,-0.10830424696249145,-0.10830424696249145,0.01953125,125.52734375,False
6000,-0.08664339756999316,-0.08664339756999316,0.015625,126.0234375,False
7000,-0.06498254817749487,-0.06498254817749487,0.01171875,126.5234375,False
8000,-0.12996509635498973,-0.12996509635498973,0.0234375,125.03125,False
9000,-0.10830424696249145,-0.10830424696249145,0.01953125,125.52734375,False
10000,-0.12996509635498973,-0.12996509635498973,0.0234375,125.03515625,False
20000,-0.25993019270997947,-0.25993019270997947,0.05078125,122.07421875,False
30000,-0.36823443967247094,-0.36823443967247094,0.07421875,119.61328125,False
40000,-0.4332169878499658,-0.4332169878499658,0.08203125,118.12109375,False
50000,-0.4548778372424641,-0.4548778372424641,0.0859375,117.609375,False
60000,-0.7364688793449413,-0.7364688793449413,0.13671875,111.1953125,False
70000,-0.7797905781299378,-0.7797905781299378,0.1484375,110.22265625,False
80000,-0.9314165238774255,-0.9314165238774255,0.19921875,106.7421875,False
90000,-1.1696858671949069,-1.1696858671949069,0.24609375,101.3046875,False
100000,-1.0830424696249135,-1.0830424696249135,0.21484375,103.296875,False
