n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,-0.5692525530787037,-0.9804142385117662,0.1875,112.19921875,False
20,-1.1893259916489467,-1.8457132019512448,0.39453125,93.45703125,False
30,-1.2562069355193277,-1.9632894430124377,0.453125,92.81640625,False
40,-1.4422832024314491,-2.3398953149988904,0.65625,83.4765625,False
50,-1.6458535187700651,-2.4490841792329365,0.80078125,74.6015625,False
60,-2.0700847529269053,-2.9557934180090033,1.03515625,62.9296875,False
70,-2.0291485257355286,-2.987465641536142,1.16015625,58.55078125,False
80,-2.3456593659939147,-3.1833729816945437,1.3671875,48.9765625,False
90,-2.238838709886563,-3.2317390997148387,1.48046875,50.65234375,False
100,-2.3029020328841328,-3.2420814949330716,1.66015625,43.86328125,False
200,-2.4788432133875338,-2.8805780596596837,3.41796875,17.70703125,False
300,-2.39945391205844,-2.2822434353725853,4.95703125,8.39453125,True
400,-2.303590296897168,-1.9076489493543318,6.7421875,2.59765625,True
500,-2.2118631964658095,-1.6557235251767586,8.33984375,2.41796875,True
600,-2.144330901670706,-1.4763689090440293,10.078125,1.40234375,True
700,-2.1362146313427415,-1.4172040508871768,11.421875,1.9921875,True
800,-2.12364413304445,-1.3176878946173298,13.43359375,1.08984375,True
900,-2.1233181974637185,-1.268532420778656,15.078125,1.0078125,True
1000,-2.0202366618395895,-1.1909201556887932,16.640625,1.25,True
2000,-2.0149937487822527,-0.9658801589923952,33.296875,1.0,True
3000,-1.99693314628136,-0.8867726697198947,49.8984375,1.0,True
4000,-1.9958608056425065,-0.8715262377275341,67.65625,1.0,True
5000,-1.9828622040432087,-0.8583789781019532,84.79296875,1.0,True
6000,-1.960743545588597,-0.8315046182087996,101.015625,1.0,True
7000,-1.9592586018853901,-0.8365391532942906,118.171875,1.0,True
8000,-1.9622376293583101,-0.8308818505308726,134.21875,1.0,True
9000,-1.9593855547314736,-0.837819738652375,152.00390625,1.0,True
10000,-1.949607383609418,-0.8213810907267819,167.890625,1.0,True
20000,-1.9498889977036322,-0.8099195029662564,335.53515625,1.0,True
30000,-1.9514165005641668,-0.8158085985668178,504.30078125,1.0,True
40000,-1.9492017469235707,-0.8103388915700198,672.95703125,1.0,True
50000,-1.9389878610574278,-0.8080911731930244,838.80859375,1.0,True
60000,-1.9454305165137453,-0.8112997086401854,1009.76953125,1.0,True
70000,-1.944855989461024,-0.8062879106854938,1172.99609375,1.0,True
80000,-1.9420158298881662,-0.7989872588280778,1346.1796875,1.0,True
90000,-1.941517075775665,-0.801892817242883,1513.5703125,1.0,True
100000,-1.9444978560235109,-0.804200355796068,1674.7578125,1.0,True
