n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,1.026617434767025,0.6860900978793094,0.171875,135.96875,False
20,1.7837383066863155,1.1644537079742356,0.3046875,147.75,False
30,2.606230245993363,1.7596634480097098,0.5546875,157.09765625,False
40,2.739904330156373,1.8508376087316933,0.625,159.68359375,False
50,3.347372765357415,2.2558374645584123,0.75,165.79296875,False
60,3.9413407148764774,2.64841913089016,1.0,179.734375,False
70,3.7438663120895606,2.5888714982767556,1.203125,176.37109375,False
80,4.0896387719533465,2.775836790798182,1.2265625,184.4375,False
90,4.370468220502131,3.0064318577890363,1.4453125,189.78125,False
100,4.830161404932613,3.3586647211569267,1.87890625,201.765625,False
200,5.041814283807928,3.6065669801632807,3.37890625,221.73828125,False
300,4.7668120650616155,3.4397761313186734,5.10546875,238.16015625,False
400,4.461136115987314,3.261021401468204,6.6328125,241.765625,False
500,4.24058721727823,3.101893615173165,8.5390625,246.34375,False
600,4.046072444128517,2.977143828028928,10.03515625,250.73046875,False
700,3.929356319467625,2.879980064336539,11.421875,252.39453125,False
800,3.7485287188429397,2.7563662366220822,13.4921875,253.15625,False
900,3.6199331707870503,2.6493560020658062,15.6484375,254.34375,False
1000,3.5585948540050416,2.601202590322809,16.625,255.09375,False
2000,2.9443037915062784,2.0905176269641306,33.4609375,255.98046875,False
3000,2.6135788259017545,1.8073236722981694,50.12890625,256.0,False
4000,2.39694281551961,1.6133690084512333,67.25390625,256.0,False
5000,2.2396897931912574,1.4778519989086678,83.76171875,256.0,False
6000,2.1061446473747636,1.367611692936044,100.7734375,256.0,False
7000,2.0187025560639236,1.2795723003966786,117.91796875,256.0,False
8000,1.9408279553731165,1.210249086053448,135.99609375,256.0,False
9000,1.8814359586573077,1.158740237127122,151.078125,256.0,False
10000,1.8368252840115629,1.1126972255676484,167.23046875,256.0,False
20000,1.5544802935570006,0.8527657513180381,336.421875,256.0,False
30000,1.423783605506518,0.7370864071182615,504.49609375,256.0,False
40000,1.3639502139910795,0.6802441660960429,672.38671875,256.0,False
50000,1.3166747549773148,0.6389369052655822,840.64453125,256.0,False
60000,1.2918550940403457,0.6136101795625276,1004.78125,256.0,False
70000,1.277261791691452,0.5985155820475028,1174.91015625,256.0,False
80000,1.2611768400434609,0.5853478307650021,1346.3046875,256.0,False
90000,1.244892144502638,0.5716281863800993,1517.49609375,256.0,False
100000,1.2438697295206234,0.5678443074922426,1682.9765625,256.0,False
