50,0.11403706165542127,0.1384055172219818,0.03515625,123.53515625,True
60,0.11403706165542127,0.1384055172219818,0.0390625,123.53515625,True
70,0.21540333868246242,0.2614326436415211,0.0703125,119.56640625,True
80,0.11403706165542127,0.1384055172219818,0.03515625,123.53515625,True
90,0.19006176942570213,0.23067586203663626,0.05859375,120.55859375,True
100,0.19006176942570213,0.23067586203663626,0.05859375,120.55859375,True
200,0.34211118496626364,0.4152165516659452,0.109375,114.60546875,True
300,0.6588808006757666,0.7996763217270054,0.2109375,102.203125,True
400,0.6588808006757666,0.7996763217270054,0.23828125,102.203125,True
500,0.810930216216328,0.9842170113563143,0.29296875,96.25,True
1000,1.6725435709461818,2.0299475859224057,0.72265625,62.515625,True
2000,2.4961445717908877,3.0295429880811695,1.421875,30.26953125,True
3000,2.800243402872008,3.39862436733979,1.98046875,18.36328125,True
4000,3.015646741554468,3.660057010981313,2.65625,9.9296875,True
5000,3.040988310811228,3.690813792586198,3.1171875,8.9375,True
10000,3.243720864865308,3.9368680454252782,6.5625,1.0,True
20000,3.243720864865308,3.9368680454252782,13.1484375,1.0,True
30000,3.243720864865308,3.9368680454252782,19.8671875,1.0,True
40000,3.243720864865308,3.9368680454252782,26.21484375,1.0,True
50000,3.243720864865308,3.9368680454252782,32.84375,1.0,True
100000,3.243720864865308,3.9368680454252782,65.28515625,1.0,True
