n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,0.27205133344123356,0.13937863091218156,0.04296875,127.921875,False
20,0.46092825428019923,0.22807412331084256,0.0703125,130.828125,False
30,0.5657635162749655,0.28417247417248764,0.09765625,132.74609375,False
40,0.8755265803109776,0.43328423854747034,0.15234375,134.0078125,False
50,1.2346278020608341,0.638954443767131,0.21875,133.59375,False
60,1.619044791725651,0.7783330746793122,0.25390625,142.703125,False
70,1.5019364135537803,0.789835989775399,0.28125,136.2109375,False
80,1.8590914079232363,0.9398591118290917,0.3203125,140.11328125,False
90,2.0967934627688796,1.0638417073641195,0.38671875,143.1796875,False
100,2.623500267649392,1.3419000119265794,0.4921875,146.50390625,False
200,3.5339553203065828,1.850140167426819,0.796875,153.83203125,False
300,4.402787877513218,2.361613836426797,1.20703125,167.77734375,False
400,4.89577130552715,2.72783616872505,1.58203125,169.01171875,False
500,5.313510926096264,2.975609035058084,1.9140625,179.18359375,False
600,5.166869673689843,3.022932308275713,2.29296875,179.23046875,False
700,5.249134769281731,3.160938634305768,2.7109375,184.66796875,False
800,5.251391137243132,3.175626352836176,3.19140625,193.40234375,False
900,5.199859494703945,3.2053217233949707,3.578125,188.0234375,False
1000,5.151420182931294,3.2310842025393125,3.9609375,190.15625,False
2000,4.576750963314996,3.027332729297798,8.0234375,222.23828125,False
3000,4.220276081984968,2.7989297227379124,11.6796875,234.03125,False
4000,3.893239215571545,2.6326845367671967,15.66015625,238.109375,False
5000,3.70034502251598,2.503337918712152,19.234375,245.63671875,False
6000,3.4996550243505995,2.3735458829707126,23.72265625,249.125,False
7000,3.374987889632839,2.2783437168799963,27.6015625,251.54296875,False
8000,3.2541377768594835,2.187808599000266,31.32421875,252.16015625,False
9000,3.1301308957638323,2.1079998097253196,35.32421875,253.5625,False
10000,3.04179618705424,2.035017474182355,39.6640625,253.64453125,False
20000,2.4957323668323297,1.5870190569466842,78.08984375,255.96484375,False
30000,2.1877497748578256,1.3452638058061677,116.32421875,255.953125,False
40000,2.009574880811031,1.1904224280925653,156.12109375,256.0,False
50000,1.8526535079629045,1.0700526556623549,196.84765625,256.0,False
60000,1.7673202030178081,0.9919004255520909,234.20703125,256.0,False
70000,1.7081898327128573,0.934665041876008,272.00390625,256.0,False
80000,1.6455857391690425,0.8857605204337012,312.81640625,256.0,False
90000,1.5941142678741875,0.8393884781013761,355.04296875,256.0,False
100000,1.5582489461998605,0.8076093034724495,390.359375,256.0,False
