n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,2.686571853983751,1.8925360172719226,0.546875,139.38671875,False
20,4.043472593705286,2.8895336786115147,1.17578125,159.23828125,False
30,4.496416621839072,3.297364433974676,1.69921875,161.0625,False
40,4.506296956218219,3.3783425772797626,2.2265625,164.01171875,False
50,4.801349598020223,3.6290418162821587,2.72265625,165.57421875,False
60,4.663229529896382,3.560768191399983,3.578125,178.578125,False
70,4.643276697339945,3.5355658052337042,3.96875,186.83984375,False
80,4.464609755437976,3.463111818326411,4.62890625,185.765625,False
90,4.381100819734188,3.408600892365305,5.19140625,187.0390625,False
100,4.195169440509446,3.2616753805198795,6.2109375,199.24609375,False
200,3.5315360238026217,2.8343203463249003,11.765625,210.171875,False
300,3.1620041038548403,2.534407061358647,17.43359375,226.8984375,False
400,2.895231870406855,2.327094514520169,22.79296875,231.58203125,False
500,2.6901187838154326,2.1386748802230495,29.234375,241.45703125,False
600,2.5137927534851188,2.0097385113567934,34.3359375,242.94921875,False
700,2.3757620087450224,1.8879587246274674,40.0703125,244.22265625,False
800,2.245629253253248,1.7733774671300373,46.6171875,247.9609375,False
900,2.1386025164921354,1.6758137424102186,52.9609375,251.4140625,False
1000,2.0813208713569065,1.6253617782643102,56.98046875,252.65625,False
2000,1.529081777247082,1.1333873898224052,114.83984375,255.6484375,False
3000,1.2581153235371667,0.8938964178676642,172.703125,255.95703125,False
4000,1.0878345824836355,0.7370794250020258,230.7734375,255.99609375,False
5000,0.9762243713434884,0.6349508436803528,288.34375,256.0,False
6000,0.8955478414302519,0.5620901030557086,347.5390625,256.0,False
7000,0.8329949159554318,0.5069285420355457,404.9921875,256.0,False
8000,0.7966472996261923,0.47057522231192817,461.2578125,256.0,False
9000,0.7533924296438693,0.43551461411070963,521.03125,256.0,False
10000,0.7247996436461761,0.408411745125251,575.90625,256.0,False
20000,0.5994649407447317,0.2939942680149127,1152.46484375,256.0,False
30000,0.5553015906537078,0.2569009293517962,1727.87890625,256.0,False
40000,0.5340258311495587,0.23910217761246447,2304.34375,256.0,False
50000,0.5224951326661844,0.22973823403884897,2884.296875,256.0,False
60000,0.5132308605284442,0.22323387791251156,3453.93359375,256.0,False
70000,0.5104534342279117,0.2186609820918309,4031.84375,256.0,False
80000,0.5049494082532456,0.2152481260860354,4619.86328125,256.0,False
90000,0.5015512274330163,0.21290316832326,5192.73046875,256.0,False
100000,0.500872428495522,0.21058182907718806,5763.00390625,256.0,False
