n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,3.9257800802946283,3.289601102078041,1.6484375,67.55078125,False
20,4.012169134927761,3.537379247826029,3.44140625,48.30078125,False
30,3.827235549635935,3.4634086190553512,4.78125,37.0859375,False
40,3.5092895210429575,3.265195286016887,6.625,26.72265625,False
50,3.2416810867430628,3.0919651594640665,8.31640625,17.33203125,False
60,3.062531590967401,2.9365240471297605,10.265625,16.125,False
70,2.9172915970508106,2.845303206008909,11.765625,12.6171875,False
80,2.7541927348210713,2.718971305482517,13.7734375,8.46484375,False
90,2.6652914895238937,2.642291505582782,15.3359375,7.48828125,False
100,2.557465873995928,2.547534481950404,17.41015625,7.4765625,False
200,1.9382270074248191,2.0414201276554054,33.94921875,1.82421875,True
300,1.5859321224319145,1.7414376049884437,50.66796875,1.1171875,True
400,1.3625203223421936,1.547500108092941,66.90234375,1.01171875,True
500,1.1891053734004409,1.3909728061678703,84.5625,1.0,True
600,1.0652582464231757,1.284267530767801,100.40234375,1.0,True
700,0.9567258509425658,1.1829173197627443,117.1015625,1.0,True
800,0.8779436585530723,1.1121229071718017,134.31640625,1.0,True
900,0.7979871461840817,1.0388602817811345,152.1640625,1.0,True
1000,0.7491058318472257,0.9967956152994409,166.5546875,1.0,True
2000,0.4212812963278261,0.6970612717710007,335.0078125,1.0,True
3000,0.2915549840906723,0.5793256481074996,503.2109375,1.0,True
4000,0.22158783241697766,0.5131462786077619,670.3046875,1.0,True
5000,0.17793055200701124,0.4729508759655333,841.37109375,1.0,True
6000,0.14923134714818337,0.4474896891888198,1011.47265625,1.0,True
7000,0.12773477247188889,0.42588019975018077,1173.51953125,1.0,True
8000,0.11311759986534693,0.41394115580464513,1337.3671875,1.0,True
9000,0.1010713213332021,0.4030883427933354,1510.22265625,1.0,True
10000,0.09025798169857667,0.3931713867568576,1679.8671875,1.0,True
20000,0.049828244083112136,0.357836877552455,3356.44921875,1.0,True
30000,0.03638404541037326,0.34611590659546865,5034.40234375,1.0,True
40000,0.029806764106883855,0.3398415773267411,6710.76171875,1.0,True
50000,0.025565027846459913,0.3360438198408642,8385.890625,1.0,True
60000,0.023404289736876523,0.33515132933459146,10067.05859375,1.0,True
70000,0.02136966968189844,0.3323067961877275,11733.37109375,1.0,True
80000,0.019887061705529577,0.3311419753401145,13430.234375,1.0,True
90000,0.018845585415637283,0.33090998604151806,15104.24609375,1.0,True
100000,0.0179711306658159,0.32993700425210126,16784.1484375,1.0,True
