n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,1.057334648045488,0.7674904496712932,0.19140625,125.99609375,False
20,1.3869881774603483,1.0013211703340281,0.26953125,126.8828125,False
30,2.297819132435743,1.6809103058414803,0.5234375,130.625,False
40,2.753951796870495,2.0442294728733463,0.734375,125.7734375,False
50,3.0865402527519943,2.2849811376670663,0.79296875,127.90625,False
60,3.4316918274189865,2.557143713380995,0.99609375,130.3203125,False
70,3.4699092135448097,2.6281599534667404,1.13671875,126.18359375,False
80,3.861195718008516,2.9261974023059634,1.28125,130.23046875,False
90,4.157178198292429,3.148372562129566,1.48828125,130.421875,False
100,4.3223291464172915,3.3105519095737255,1.8359375,132.20703125,False
200,4.531565937406644,3.616031983269388,3.45703125,128.82421875,False
300,4.174751865370753,3.408626520737423,5.16015625,134.68359375,False
400,3.923116338821208,3.2628696515777795,6.59375,127.66015625,False
500,3.672126089710381,3.089122041507318,8.39453125,131.359375,False
600,3.4521611188164005,2.9492308816581176,10.11328125,124.69140625,False
700,3.3306840025549294,2.8544363795865775,11.3671875,126.11328125,False
800,3.180970055630967,2.723702153892306,13.61328125,131.4453125,False
900,3.0311679205095077,2.6213475686992953,15.55078125,127.484375,False
1000,2.9631325464092293,2.563076765761139,16.71484375,126.67578125,False
2000,2.2962343554669804,2.0116762348763984,33.59375,133.71484375,False
3000,1.9348952553524146,1.6984814856729933,50.4453125,136.76953125,False
4000,1.6704427298629794,1.478815532040299,67.36328125,124.3203125,False
5000,1.4875947854386424,1.314826167064542,84.2734375,122.30078125,False
6000,1.3516253912414486,1.1872349905533819,101.4921875,131.328125,False
7000,1.2267283296361797,1.0776035877275794,118.6484375,126.4140625,False
8000,1.1426311104014917,0.9980268543279819,134.48046875,136.171875,False
9000,1.0464991323492299,0.9213299514022705,152.34765625,119.91796875,False
10000,0.9902204268326306,0.8665006283001874,167.01953125,128.04296875,False
20000,0.6086902439902432,0.5174771345944074,336.96484375,135.58984375,False
30000,0.45217271305750134,0.38155128660882803,503.43359375,128.07421875,False
40000,0.3745386193046292,0.31262023378391207,670.73046875,130.08984375,False
50000,0.32548442521884163,0.2715651438486512,841.5546875,123.92578125,False
60000,0.29810906544071075,0.24883116259097332,1005.42578125,122.78125,False
70000,0.27794085221842213,0.2312923374374713,1173.95703125,128.953125,False
80000,0.2621905750372768,0.2189251484816942,1346.08984375,128.8515625,False
90000,0.2524718953654214,0.21029378742144078,1517.5234375,133.3828125,False
100000,0.24346791591927028,0.20289046653059134,1677.48046875,134.16015625,False
