n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,-0.1573047637939453,-0.2218189239501953,0.1953125,123.54296875,False
20,-0.23571717739105225,-0.33395326137542725,0.3203125,118.75,False
30,-0.3127119541168213,-0.4596846103668213,0.48046875,117.38671875,False
40,-0.36274481561448835,-0.546790361404419,0.72265625,110.1953125,False
50,-0.4155380858315362,-0.6295112371444702,0.81640625,109.5078125,False
60,-0.4252102507485284,-0.6838382482528687,1.0390625,109.1015625,False
70,-0.43798757923973936,-0.7331434223386977,1.1953125,112.0625,False
80,-0.4382393879360624,-0.7395205497741699,1.30859375,104.8984375,False
90,-0.501361802321713,-0.8531890461179945,1.57421875,101.79296875,False
100,-0.5204456366433041,-0.874737696647644,1.76953125,95.2109375,False
200,-0.36167848057096935,-0.7995690919230222,3.4375,90.2890625,False
300,-0.280373297302549,-0.6554874727602461,4.96875,80.25390625,False
400,-0.23098912523709197,-0.5168264849297154,6.9140625,61.62109375,False
500,-0.203536881069971,-0.4324356405736634,8.30859375,52.5546875,False
600,-0.17948030159457984,-0.3477402051704094,10.0859375,44.3828125,False
700,-0.16227674656505814,-0.31143192546055054,11.6171875,39.07421875,False
800,-0.15246564970135384,-0.27352786010647945,13.77734375,30.71875,False
900,-0.14094486044121549,-0.23289401333737073,15.44140625,28.6875,False
1000,-0.1360233956093443,-0.21651182069994776,16.9609375,25.3046875,False
2000,-0.11282455512968005,-0.1161369856352416,33.48828125,5.94140625,False
3000,-0.10632602753677176,-0.08473116100339614,49.91015625,1.6328125,True
4000,-0.10434723451858445,-0.06683008021126415,67.52734375,1.17578125,True
5000,-0.09730356923890696,-0.05672420536893867,84.3046875,1.046875,True
6000,-0.09797752008112397,-0.04911718778291854,101.95703125,1.01171875,True
7000,-0.09618786012754171,-0.04723717503379821,119.140625,1.0,True
8000,-0.09473181987289815,-0.04206934469574496,134.71875,1.0078125,True
9000,-0.09579295939002579,-0.04029024325712921,152.61328125,1.0,True
10000,-0.09435488032253479,-0.03786987849424628,167.4765625,1.0,True
20000,-0.09243914930746075,-0.028414146799053155,336.3203125,1.0,True
30000,-0.09112825168973608,-0.025380952742220034,502.98046875,1.0,True
40000,-0.09086581952641601,-0.023405023768461167,671.4296875,1.0,True
50000,-0.09009021184262504,-0.022273822248138127,839.17578125,1.0,True
60000,-0.09047331150699262,-0.021734069291703823,1008.68359375,1.0,True
70000,-0.08942807113377735,-0.021225295500551678,1174.58203125,1.0,True
80000,-0.09035814983979194,-0.02114145582544589,1346.6875,1.0,True
90000,-0.08921814533772536,-0.020700657164227945,1513.09765625,1.0,True
100000,-0.08938607346737543,-0.020561174075321313,1675.3984375,1.0,True
