n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
50,-0.02725088596343994,-0.03249990940093994,0.02734375,125.8359375,False
60,-0.03998923301696777,-0.04642844200134277,0.0390625,124.5390625,False
70,-0.04818463325500488,-0.06417584419250488,0.05859375,125.56640625,False
80,-0.033240675926208496,-0.040961623191833496,0.0390625,125.8671875,False
90,-0.06519544124603271,-0.07892835140228271,0.06640625,123.40625,False
100,-0.07509982585906982,-0.09749972820281982,0.08203125,124.32421875,False
200,-0.12477982044219971,-0.1622859239578247,0.14453125,121.0859375,False
300,-0.16921770572662354,-0.21491777896881104,0.19921875,116.77734375,False
400,-0.22432291507720947,-0.2889896631240845,0.265625,114.98046875,False
500,-0.2489534616470337,-0.3250948190689087,0.3046875,113.53125,False
1000,-0.35903841919369167,-0.46267950534820557,0.5,103.05859375,False
2000,-0.5403046074367706,-0.7942764522375163,1.3671875,84.96875,False
3000,-0.5287562044299379,-0.8195061015974636,2.0078125,71.33203125,False
4000,-0.5439964267077629,-0.8599226227477023,2.6796875,56.1640625,False
5000,-0.4777640005370239,-0.8069477048776826,3.39453125,54.92578125,False
10000,-0.3343350485686743,-0.53769503692079,6.625,29.3203125,False
20000,-0.2642651321247243,-0.3177657201211968,12.953125,8.37109375,False
30000,-0.22930769815544305,-0.22331739778070075,19.8046875,3.6484375,True
40000,-0.22222943019448807,-0.18330094875125263,26.4921875,1.65234375,True
50000,-0.21963592415485397,-0.15562946473733313,32.9140625,1.31640625,True
100000,-0.2002338110466266,-0.11011908443180833,65.33203125,1.03515625,True
