n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,-0.18409085273742676,-0.21253323554992676,0.1875,112.39453125,False
20,-0.3554060591591729,-0.4061635732650757,0.39453125,94.76171875,False
30,-0.378759953710768,-0.4395221471786499,0.453125,94.125,False
40,-0.447494904200236,-0.5404260158538818,0.65625,86.7421875,False
50,-0.4645609988106623,-0.5799394845962524,0.80078125,81.828125,False
60,-0.5709868261549208,-0.6991934776306152,1.03515625,69.109375,False
70,-0.5687746890385946,-0.719685435295105,1.16015625,66.51953125,False
80,-0.6156874884499445,-0.7838305616378785,1.3671875,59.03515625,False
90,-0.6082652993321148,-0.8056222251753689,1.48046875,61.921875,False
100,-0.6368547450171577,-0.8357686244116888,1.66015625,54.7109375,False
200,-0.5825122676697028,-0.8333236132763769,3.41796875,34.9296875,False
300,-0.4914081398451728,-0.7098113217165598,4.95703125,23.62890625,False
400,-0.45064232241337204,-0.6050831088927544,6.7421875,13.76171875,False
500,-0.42577333150825597,-0.5271621570189149,8.33984375,9.89453125,False
600,-0.39472767072668113,-0.46030034163769884,10.078125,6.95703125,False
700,-0.3953955743685143,-0.44119089913303966,11.421875,6.33984375,False
800,-0.387709212145908,-0.39960943040825925,13.43359375,3.7265625,False
900,-0.37957568257725777,-0.3773873343420716,15.078125,2.703125,True
1000,-0.3596587478587652,-0.35236005505837065,16.640625,3.09375,True
2000,-0.34746464122161014,-0.2710735668944933,33.296875,1.1796875,True
3000,-0.3422399998377398,-0.24627687698572184,49.8984375,1.03125,True
4000,-0.3391600991838241,-0.23218978787042555,67.65625,1.01171875,True
5000,-0.33545330815585545,-0.23068642054174054,84.79296875,1.00390625,True
6000,-0.33207467775548827,-0.21604987557790536,101.015625,1.0,True
7000,-0.32960176997325735,-0.21166780748745723,118.171875,1.0,True
8000,-0.3301357927415868,-0.2085791865809614,134.21875,1.0,True
9000,-0.32861207722393876,-0.20867024289397956,152.00390625,1.0,True
10000,-0.3275468004563176,-0.20622495126259216,167.890625,1.0,True
20000,-0.32747846423504906,-0.20218665376054376,335.53515625,1.0,True
30000,-0.32658000543668264,-0.20062600382369178,504.30078125,1.0,True
40000,-0.3262013993512115,-0.19972016583539864,672.95703125,1.0,True
50000,-0.32375290054449307,-0.1998324879135811,838.80859375,1.0,True
60000,-0.3250866482151417,-0.19849940204503957,1009.76953125,1.0,True
70000,-0.3255727747946286,-0.19959697609311275,1172.99609375,1.0,True
80000,-0.32592260307904575,-0.19953714019061197,1346.1796875,1.0,True
90000,-0.32531291018017966,-0.1998891436313538,1513.5703125,1.0,True
100000,-0.3258941197832481,-0.19992320129033717,1674.7578125,1.0,True
