n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
50,0.0,0.0,0.0,128.0,False
60,0.0,0.0,0.0,128.0,False
70,0.0,0.0,0.0,128.0,False
80,0.0,0.0,0.0,128.0,False
90,0.0,0.0,0.0,128.0,False
100,0.0,0.0,0.0,128.0,False
200,0.0,0.0,0.0,128.0,False
300,0.0,0.0,0.0,128.0,False
400,0.0,0.0,0.0,128.0,False
500,0.0,0.0,0.0,128.0,False
1000,-0.009320378303527832,-0.013928532600402832,0.01171875,128.140625,False
2000,0.0,0.0,0.0,128.0,False
3000,-0.012066960334777832,-0.013928532600402832,0.01171875,126.9921875,False
4000,0.0,0.0,0.0,128.0,False
5000,-0.01143026351928711,-0.01857137680053711,0.015625,128.57421875,False
10000,-0.013540148735046387,-0.023214221000671387,0.01953125,129.13671875,False
20000,-0.037682414054870605,-0.060356974601745605,0.05078125,129.91015625,False
30000,-0.0681459903717041,-0.1021425724029541,0.0859375,128.15625,False
40000,-0.10564529895782471,-0.1624995470046997,0.13671875,129.20703125,False
50000,-0.05458366870880127,-0.08739006519317627,0.078125,129.62890625,False
100000,-0.18402119477589926,-0.2772015333175659,0.26953125,127.73828125,False
