n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
50,-0.2228565216064453,-0.2228565216064453,0.2109375,104.29296875,False
60,-0.25535643100738525,-0.25535643100738525,0.2421875,100.81640625,False
70,-0.3064277172088623,-0.3064277172088623,0.30078125,95.37890625,False
80,-0.250713586807251,-0.250713586807251,0.25390625,101.30859375,False
90,-0.3064277172088623,-0.3064277172088623,0.31640625,95.39453125,False
100,-0.3528561592102051,-0.3528561592102051,0.3515625,90.44921875,False
200,-0.636069655418396,-0.636069655418396,0.75,60.2890625,False
300,-0.8960689306259155,-0.8960689306259155,1.3359375,32.640625,False
400,-0.8914260864257812,-0.8914260864257812,1.5,33.11328125,False
500,-1.0399971008300781,-1.0399971008300781,1.9140625,17.30859375,False
1000,-1.1653538942337036,-1.1653538942337036,3.9453125,3.97265625,False
2000,-1.188568115234375,-1.188568115234375,8.0234375,1.5,False
3000,-1.188568115234375,-1.188568115234375,11.6484375,1.5,False
4000,-1.188568115234375,-1.188568115234375,15.6171875,1.5,False
5000,-1.188568115234375,-1.188568115234375,19.3671875,1.5,False
10000,-1.188568115234375,-1.188568115234375,39.03515625,1.5,False
20000,-1.188568115234375,-1.188568115234375,77.74609375,1.5,False
30000,-1.188568115234375,-1.188568115234375,116.6484375,1.5,False
40000,-1.188568115234375,-1.188568115234375,155.90625,1.5,False
50000,-1.188568115234375,-1.188568115234375,195.68359375,1.5,False
100000,-1.188568115234375,-1.188568115234375,390.1640625,1.5,False
