n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,-0.4676524533165827,-0.8618547916412354,1.6484375,108.81640625,False
20,-0.31793996082501963,-0.7890768048131936,3.44140625,105.3828125,False
30,-0.26353432800800636,-0.6807095829839603,4.78125,97.62109375,False
40,-0.19667850074498844,-0.5265284538129227,6.625,84.421875,False
50,-0.15927009324841174,-0.41739864994327763,8.31640625,82.86328125,False
60,-0.12139196947078487,-0.3365734681713154,10.265625,83.69921875,False
70,-0.12421499752704539,-0.2942316621635377,11.765625,65.71875,False
80,-0.11473621436898612,-0.2502571878828231,13.7734375,55.2578125,False
90,-0.10992446933355902,-0.23403924879373458,15.3359375,51.875,False
100,-0.09818654100505281,-0.20080977648083534,17.41015625,49.34765625,False
200,-0.07538402568541866,-0.10760484250849688,33.94921875,20.1953125,False
300,-0.06536898828280546,-0.07168841009071825,50.66796875,7.53125,False
400,-0.06275376006297202,-0.0584241229153652,66.90234375,3.78515625,True
500,-0.0613020342272267,-0.046055892810742426,84.5625,2.00390625,True
600,-0.06042535512282976,-0.04151685573284972,100.40234375,1.26953125,True
700,-0.059415089062824375,-0.03709205647125857,117.1015625,1.21484375,True
800,-0.05536411787071759,-0.03298324478653082,134.31640625,1.0625,True
900,-0.05569879497754862,-0.030082526767396464,152.1640625,1.0390625,True
1000,-0.055695057323134366,-0.02843362857693741,166.5546875,1.01171875,True
2000,-0.0544395439061596,-0.018933138926567672,335.0078125,1.0,True
3000,-0.0527914549095822,-0.015272052411642896,503.2109375,1.0,True
4000,-0.05200980229194525,-0.013969641707211163,670.3046875,1.0,True
5000,-0.05238724278075593,-0.012949650003884107,841.37109375,1.0,True
6000,-0.052180932737923444,-0.01223887116809051,1011.47265625,1.0,True
7000,-0.051676686565856715,-0.011844446759098886,1173.51953125,1.0,True
8000,-0.0514758157295788,-0.011530861116916837,1337.3671875,1.0,True
9000,-0.05145521566003518,-0.011148711648560636,1510.22265625,1.0,True
10000,-0.05183089067743538,-0.010825606273593009,1679.8671875,1.0,True
20000,-0.0516251301571523,-0.009997625136375308,3356.44921875,1.0,True
30000,-0.05139179283522007,-0.009486459822127369,5034.40234375,1.0,True
40000,-0.051463242739637316,-0.00933751270235411,6710.76171875,1.0,True
50000,-0.05112399748792165,-0.009140129159395936,8385.890625,1.0,True
60000,-0.051238474052038116,-0.009099655864883304,10067.05859375,1.0,True
70000,-0.051163703022461586,-0.009022923273157868,11733.37109375,1.0,True
80000,-0.0510831884554827,-0.009052305283882574,13430.234375,1.0,True
90000,-0.05104672809873055,-0.008941217082138346,15104.24609375,1.0,True
100000,-0.051110329412846156,-0.008941377389965078,16784.1484375,1.0,True
