n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,3.309428016399189,3.073050966790143,10.0,139.2578125,False
20,2.629138938867467,2.466651973310671,20.0,131.7890625,False
30,2.2499924159777582,2.117927986232347,30.0,130.45703125,False
40,1.9909037497942488,1.8768281429213156,40.0,128.24609375,False
50,1.8006292937535593,1.69471186435357,50.0,134.6484375,False
60,1.6452840380051896,1.5516068422878797,60.0,132.88671875,False
70,1.5055602490522983,1.4208702580504642,70.0,124.37109375,False
80,1.3989649432184397,1.315682806313779,80.0,132.97265625,False
90,1.307233248108637,1.2292401377023343,90.0,132.3203125,False
100,1.216735848322635,1.1460791231291654,100.0,122.86328125,False
200,0.7387526021211008,0.6889560269217521,200.0,123.67578125,False
300,0.5241332855066388,0.48389909612455667,300.0,122.3515625,False
400,0.4041479697018994,0.3665744168403485,400.0,136.8671875,False
500,0.32569322111981475,0.2946002737506331,500.0,121.83203125,False
600,0.2747603158911516,0.24491940483776625,600.0,128.703125,False
700,0.23534446163808526,0.20739188099435144,700.0,133.3359375,False
800,0.20816416699981038,0.1830059287429883,800.0,123.09375,False
900,0.18427561534975015,0.1604962629988023,900.0,126.265625,False
1000,0.16900494553739534,0.1467026035412911,1000.0,127.36328125,False
2000,0.09767786301239421,0.08205838948572777,2000.0,122.015625,False
3000,0.07644377496276741,0.0633557935205702,3000.0,131.234375,False
4000,0.06545315899783054,0.05412750057237798,4000.0,127.09375,False
5000,0.059244149798050094,0.048759663211383975,5000.0,137.390625,False
6000,0.055007236967139814,0.04556010781110203,6000.0,131.21484375,False
7000,0.0514768081442691,0.042884497812593264,7000.0,127.234375,False
8000,0.04937057679043305,0.04114892506455802,8000.0,130.58984375,False
9000,0.047430322354006745,0.03980280823169229,9000.0,130.69921875,False
10000,0.04630999214976898,0.03879634986783065,10000.0,138.078125,False
20000,0.039673882772018575,0.03444944431821619,20000.0,131.4453125,False
30000,0.037385921156589286,0.03332703497803596,30000.0,125.06640625,False
40000,0.03651144919270565,0.03275704950991263,40000.0,137.71484375,False
50000,0.03564657489843015,0.03251561523277111,50000.0,123.97265625,False
60000,0.035351271526059096,0.03233236602449159,60000.0,131.078125,False
70000,0.034902671381310146,0.03230150641620898,70000.0,122.72265625,False
80000,0.034818076789473656,0.03222345764644849,80000.0,129.91015625,False
90000,0.03458397918902386,0.032222194921698914,90000.0,124.88671875,False
100000,0.03444991027173135,0.032183560735616935,100000.0,125.75,False
