n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,1.0821929851045582,0.9059250737510274,0.1953125,138.515625,False
20,1.6322172783097681,1.3672812660935523,0.3203125,146.16015625,False
30,2.2580021941342556,1.8976322420337062,0.48046875,153.796875,False
40,2.7335423401478516,2.2959943436284007,0.72265625,166.625,False
50,3.147165396959649,2.647442900799133,0.81640625,169.453125,False
60,3.4219727784512046,2.892931646530202,1.0390625,173.48828125,False
70,3.724167026556141,3.156904839109321,1.1953125,181.19140625,False
80,3.7589890531266925,3.1761060864649737,1.30859375,185.4765625,False
90,4.322933921514469,3.674841153996462,1.57421875,192.0078125,False
100,4.510699038745822,3.8428157681647352,1.76953125,195.71875,False
200,4.602413588422611,3.9704514402863906,3.4375,224.55859375,False
300,4.298726439098021,3.726026144948849,4.96875,231.50390625,False
400,4.01356270611568,3.470887458539818,6.9140625,243.78515625,False
500,3.8107781435222,3.3027010064998743,8.30859375,247.06640625,False
600,3.6207794566492146,3.132593677051937,10.0859375,251.18359375,False
700,3.465139043772746,2.9991949339974986,11.6171875,252.72265625,False
800,3.321754382802261,2.873443048391526,13.77734375,253.1796875,False
900,3.2013541071837617,2.7670023840122875,15.44140625,254.16015625,False
1000,3.117231327900159,2.688427181564955,16.9609375,255.05859375,False
2000,2.5072343349131123,2.128994982866813,33.48828125,255.98828125,False
3000,2.189769797093378,1.8280298644107464,49.91015625,256.0,False
4000,1.96257139761189,1.6106420009609597,67.52734375,256.0,False
5000,1.80519774152782,1.4624957843152222,84.3046875,256.0,False
6000,1.6931154000035014,1.3549227153095695,101.95703125,256.0,False
7000,1.597970601476503,1.2662186206983443,119.140625,256.0,False
8000,1.5259887520068378,1.1962818806281381,134.71875,256.0,False
9000,1.4600523048643046,1.1336318836883608,152.61328125,256.0,False
10000,1.4053686132473033,1.082662267030857,167.4765625,256.0,False
20000,1.1224655467448297,0.8087434882862921,336.3203125,256.0,False
30000,1.0011625138214393,0.6927770113749786,502.98046875,256.0,False
40000,0.9370948212629139,0.6310284788763852,671.4296875,256.0,False
50000,0.892870475870258,0.5893227276546211,839.17578125,256.0,False
60000,0.8699375181565031,0.5661231079292192,1008.68359375,256.0,False
70000,0.8467114845551185,0.5445996618751311,1174.58203125,256.0,False
80000,0.8336716274401569,0.5315527980395051,1346.6875,256.0,False
90000,0.819025377731298,0.5182209070861787,1513.09765625,256.0,False
100000,0.8090892370737126,0.5083353514516041,1675.3984375,256.0,False
