n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,2.309772078260496,2.1408635005796413,0.5546875,92.12109375,False
20,3.5279134354589985,3.3179350279274153,1.1796875,62.95703125,False
30,3.932331776246818,3.7376061812464982,1.6953125,48.4609375,False
40,4.064766842267932,3.882243497292628,2.23046875,40.53125,False
50,4.106033213387509,3.9422354725014523,2.6171875,34.58984375,False
60,4.005715640305523,3.9048656378058624,3.55078125,20.85546875,False
70,3.9793462548946055,3.912314451152089,4.04296875,14.08203125,False
80,3.8703991696958764,3.8202649808250473,4.546875,12.015625,False
90,3.751785531871042,3.7233672608962847,5.22265625,8.5,False
100,3.580374486980064,3.578966497503658,6.1171875,7.21484375,False
200,2.948951203712685,3.028468358197366,11.80859375,1.640625,True
300,2.590491843825317,2.702987465107242,17.48046875,1.0546875,True
400,2.3636988919185775,2.497345303845114,22.828125,1.00390625,True
500,2.1726754368483467,2.319414738109286,28.859375,1.0,True
600,2.0468834200823993,2.2036380484823628,33.84765625,1.0,True
700,1.926550976547211,2.09252403384537,39.6015625,1.0,True
800,1.8089316679076066,1.9766387039076219,46.42578125,1.0,True
900,1.7257805480897312,1.9012893084537668,52.296875,1.0,True
1000,1.6598772241484159,1.8420318752327385,58.0625,1.0,True
2000,1.2542647049062197,1.4518551592780597,115.55859375,1.0,True
3000,1.0682678636330254,1.2706594120075092,172.62890625,1.0,True
4000,0.9545957385534344,1.1611816024649768,230.7421875,1.0,True
5000,0.8759127383382846,1.084181492313132,286.98046875,1.0,True
6000,0.8160558911685792,1.0244029447821958,346.05078125,1.0,True
7000,0.7764652485229903,0.9877560877525305,404.23046875,1.0,True
8000,0.7475907316026976,0.9591613403530277,460.25,1.0,True
9000,0.7208341709856378,0.9322506545437866,519.109375,1.0,True
10000,0.6993869287826164,0.911652123200479,575.06640625,1.0,True
20000,0.5983452169570503,0.8127429494911136,1154.55859375,1.0,True
30000,0.5593000262725599,0.7745460690877084,1728.53125,1.0,True
40000,0.5369918583370948,0.7522438831462264,2304.37109375,1.0,True
50000,0.5241484694706284,0.7384228865366924,2887.6796875,1.0,True
60000,0.5179993965943139,0.7327892175520078,3458.078125,1.0,True
70000,0.5139419173305954,0.7290553261316726,4030.32421875,1.0,True
80000,0.508542731700049,0.7235247606761878,4616.37109375,1.0,True
90000,0.5043415034726105,0.7192112268349344,5192.390625,1.0,True
100000,0.5043361948103832,0.719416964205056,5767.01171875,1.0,True
