n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,1.0806313700239594,0.8680415860278827,0.1875,147.3046875,False
20,2.0896555511487076,1.6694613382251418,0.39453125,167.36328125,False
30,2.2525431304018593,1.8071847442749613,0.453125,170.640625,False
40,2.775985982684937,2.2432651839275994,0.65625,181.3359375,False
50,3.04096355600006,2.4561339268829925,0.80078125,188.484375,False
60,3.68233318586184,2.965605305501646,1.03515625,202.3125,False
70,3.8340846839030975,3.0996944027284834,1.16015625,207.24609375,False
80,4.173189060575764,3.3695973030919864,1.3671875,214.72265625,False
90,4.277061099172413,3.4732387266242433,1.48046875,216.30078125,False
100,4.436166571033385,3.6055114574630074,1.66015625,222.80859375,False
200,4.941142614928534,4.050218967396382,3.41796875,248.09375,False
300,4.688321906760298,3.8377941001100297,4.95703125,253.171875,False
400,4.467613103866369,3.647754762771677,6.7421875,255.7421875,False
500,4.286591117798733,3.4940226534615673,8.33984375,255.921875,False
600,4.132906065388592,3.3626546822595045,10.078125,255.96484375,False
700,4.060800560894473,3.3018229194118125,11.421875,255.90234375,False
800,3.94280038379498,3.1929801743258053,13.43359375,256.0,False
900,3.8756661692514855,3.1288609789155095,15.078125,256.0,False
1000,3.7822483367980433,3.0549770080403515,16.640625,255.99609375,False
2000,3.4071396794554185,2.700906522714974,33.296875,256.0,False
3000,3.2195466285051224,2.52590644239717,49.8984375,256.0,False
4000,3.106080230450496,2.4147869040908474,67.65625,256.0,False
5000,3.0258571358059236,2.338169308083086,84.79296875,256.0,False
6000,2.9540390733987825,2.2734827884613247,101.015625,256.0,False
7000,2.906625008301215,2.2262625404607013,118.171875,256.0,False
8000,2.8768992183840605,2.197577763066443,134.21875,256.0,False
9000,2.847044768248614,2.168489429654512,152.00390625,256.0,False
10000,2.810994892587028,2.134993920686872,167.890625,256.0,False
20000,2.680596240086535,2.007861728608658,335.53515625,256.0,False
30000,2.629687846773426,1.9556016363876612,504.30078125,256.0,False
40000,2.5952626386098565,1.9218759005586776,672.95703125,256.0,False
50000,2.5642342755527,1.891714967754286,838.80859375,256.0,False
60000,2.5568537722734326,1.8836677957349197,1009.76953125,256.0,False
70000,2.544879347378647,1.8720956511633036,1172.99609375,256.0,False
80000,2.533647929535293,1.8615560097080484,1346.1796875,256.0,False
90000,2.526524520386909,1.8538490250273476,1513.5703125,256.0,False
100000,2.5243134134045064,1.8514855482976431,1674.7578125,256.0,False
