n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,0.28591944038535866,0.0401757773203828,0.04296875,124.44921875,False
20,0.42683985255698975,0.09918163513702195,0.07421875,121.2421875,False
30,0.4696636014513076,0.09519706725705876,0.08984375,119.515625,False
40,0.5789877079186648,0.11870592630490066,0.13671875,115.66796875,False
50,0.9967487334888323,0.21270942751962396,0.1875,112.1015625,False
60,1.0251283834535112,0.25279115667787344,0.23046875,104.3515625,False
70,0.8530603682916363,0.31086403232288057,0.26171875,105.578125,False
80,1.3366558378364997,0.33027702718945684,0.30859375,101.984375,False
90,1.622337720644158,0.36046351427083095,0.34375,99.15625,False
100,2.0227879634387604,0.6029356879522351,0.50390625,87.25390625,False
200,2.421214860972374,0.9249090014211876,0.7421875,70.01953125,False
300,3.0940431246871043,1.9294912102736361,1.328125,44.06640625,False
400,3.811500139583384,2.1932976217658395,1.5859375,37.30078125,False
500,3.7092444569993908,2.603788042513452,1.98828125,32.55859375,False
600,3.9079687014470417,2.9884638977656013,2.26171875,20.25,False
700,4.0825230520795035,3.397770315649074,2.71484375,17.78515625,False
800,3.968166304181454,3.8077410145384856,3.15625,13.59375,False
900,4.052863205288406,3.9556477180195984,3.55078125,13.0546875,False
1000,4.235863992780136,4.157835778290079,3.77734375,9.1953125,False
2000,3.4276033538782804,5.446179281680502,7.85546875,1.59375,True
3000,3.0656800459963236,5.8285919941427915,11.703125,1.02734375,True
4000,2.7470788038117133,5.91228267859756,15.67578125,1.0,True
5000,2.6750410132623164,5.952066122363751,19.22265625,1.0,True
6000,2.532121120543477,5.996324466572543,23.3125,1.0,True
7000,2.402437476824733,6.0300055849997545,27.5390625,1.0,True
8000,2.363656784980531,6.030705856259841,31.671875,1.0,True
9000,2.294181178426882,6.058496722229571,35.30078125,1.0,True
10000,2.1937140174330656,6.034049633434561,39.83984375,1.0,True
20000,1.8395237218719322,5.940502173245919,78.87890625,1.0,True
30000,1.7063783138381836,5.877867392218758,116.28125,1.0,True
40000,1.6034426799976702,5.8494501025728525,156.33203125,1.0,True
50000,1.5795000706569664,5.797204257163041,195.83984375,1.0,True
60000,1.5357054685602554,5.786545150960942,233.6328125,1.0,True
70000,1.4796277637165858,5.742948608135139,274.01171875,1.0,True
80000,1.4532045068205715,5.722409710766997,313.15234375,1.0,True
90000,1.4547408686996428,5.730025424854359,353.32421875,1.0,True
100000,1.411554527100587,5.692509608230482,392.33984375,1.0,True
