n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
20,0.0,0.0,0.0,128.0,False
30,0.0,0.0,0.0,128.0,False
40,0.0,0.0,0.0,128.0,False
50,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
60,0.19028265235771394,0.0030493852605894983,0.0078125,129.0,False
70,0.0,0.0,0.0,128.0,False
80,0.2854239785365709,0.004574077890884248,0.01171875,129.5,False
90,0.19028265235771394,0.0030493852605894983,0.0078125,129.0,False
100,0.09514132617885697,0.0015246926302947491,0.00390625,128.5,False
200,0.47570663089428483,0.0076234631514737455,0.01953125,130.5,False
300,0.47570663089428483,0.0076234631514737455,0.01953125,130.5,False
400,0.6659892832519988,0.010672848412063245,0.03125,131.5,False
500,0.6659892832519988,0.010672848412063245,0.02734375,131.5,False
600,1.2368372403251406,0.01982100419383174,0.05078125,134.5,False
700,1.1416959141462837,0.01829631156353699,0.046875,134.0,False
800,1.2368372403251406,0.01982100419383174,0.0546875,134.5,False
900,0.7611306094308558,0.012197541042357995,0.03515625,132.0,False
1000,1.3319785665039976,0.021345696824126487,0.0625,135.0,False
2000,3.0445224377234252,0.04879016416943195,0.12890625,144.0,False
3000,3.995935699511997,0.06403709047237945,0.17578125,149.0,False
4000,5.613338244552569,0.08995686518739028,0.26171875,157.5,False
5000,7.230740789593141,0.11587663990240112,0.3359375,166.0,False
6000,7.135599463414284,0.11435194727210636,0.35546875,165.5,False
7000,8.943284660812562,0.1433211072477067,0.49609375,175.0,False
8000,9.704415270243413,0.15551864829006473,0.5,179.0,False
9000,11.797524446178251,0.18906188615654934,0.625,190.0,False
10000,12.463513729430245,0.19973473456861263,0.6953125,193.5,False
20000,17.31572136455194,0.27749405871364513,1.28125,219.0,False
30000,21.69222236877941,0.34762991970720386,2.10546875,242.0,False
40000,22.548494304389134,0.36135215337985666,2.61328125,246.5,False
50000,23.024200935283424,0.36897561653133043,3.27734375,249.0,False
60000,23.78533154471429,0.38117315757368847,4.00390625,253.0,False
70000,24.070755523250863,0.38574723546457274,4.56640625,254.5,False
80000,24.26103817560858,0.38879662072516225,5.109375,255.5,False
90000,24.356179501787437,0.390321313355457,6.0546875,256.0,False
100000,24.16589684942972,0.3872719280948675,6.45703125,255.0,False
