n_enc,ave_score_correct,ave_score_wrong_min,ave_n_ineff_ef,ave_rank,attacked
10,0.47315270748248306,0.028473698126812517,0.04296875,126.73828125,False
20,0.7061650605723816,0.02744446734530548,0.0703125,124.63671875,False
30,0.8094597253135063,0.0780797757153639,0.09765625,123.56640625,False
40,1.2610994654928576,0.11039501145844713,0.15234375,122.14453125,False
50,2.0871563011320826,0.1680153133865587,0.21875,121.9765625,False
60,2.089082407449032,0.16409038010672275,0.25390625,114.64453125,False
70,2.500329159423689,0.2476789146614106,0.28125,120.56640625,False
80,2.7784123209661207,0.25076321515494027,0.3203125,115.9765625,False
90,3.1731710359495544,0.30616163352483877,0.38671875,113.33984375,False
100,3.94035677784011,0.4784916830755711,0.4921875,109.8828125,False
200,5.384559858358302,0.8817948193256853,0.796875,101.69140625,False
300,6.4252669936340085,1.5497907322861746,1.20703125,87.58203125,False
400,7.75771773137037,2.181351937878754,1.58203125,87.19921875,False
500,8.133287518034003,2.684409376201227,1.9140625,77.58203125,False
600,8.316227405649208,3.2939875677486787,2.29296875,78.75,False
700,8.551628559469346,3.7641965130064747,2.7109375,73.12109375,False
800,8.262509519768695,4.246838883486219,3.19140625,63.53515625,False
900,8.83087060100953,4.31721401640713,3.578125,68.6328125,False
1000,8.988221216553319,4.656080259776842,3.9609375,67.7109375,False
2000,8.030686184736007,5.961876810965444,8.0234375,34.22265625,False
3000,7.488949667098168,6.357332109623887,11.6796875,22.59765625,False
4000,7.369786839974176,6.612313857903292,15.66015625,18.90234375,False
5000,7.153891146651904,6.703510545591977,19.234375,11.4296875,False
6000,6.938146209650168,6.805107165363531,23.72265625,7.9765625,False
7000,6.760654728920295,6.8489642200968435,27.6015625,5.31640625,True
8000,6.632780465016786,6.84995497657495,31.32421875,4.77734375,True
9000,6.570096155022567,6.877781607139711,35.32421875,3.375,True
10000,6.445515093453281,6.881266070744216,39.6640625,3.3515625,True
20000,5.832318489051851,6.815581339181894,78.08984375,1.03125,True
30000,5.5972039302451755,6.768653532081323,116.32421875,1.046875,True
40000,5.3665246840130925,6.716499580646459,156.12109375,1.0,True
50000,5.292499961255151,6.658687157016557,196.84765625,1.0,True
60000,5.177686063208245,6.618161583116471,234.20703125,1.0,True
70000,5.081646376077092,6.596825940992599,272.00390625,1.0,True
80000,5.037651517114045,6.578630854580905,312.81640625,1.0,True
90000,4.986549097274054,6.568215442497038,355.04296875,1.0,True
100000,4.942355239974995,6.553094087400974,390.359375,1.0,True
